Here is the list of all shaders from the January 22, 2026 (UTC+0100) release.

1: | Addition (Background)
2: | Addition With Hyperbolic Cosinus (Background)
3: | Addition With Hyperbolic Sinus (Background)
4: | Addition With Hyperbolic Tangent (Background)
5: | Addition With Hyperbolic Cosecant (Background)
6: | Addition With Hyperbolic Cotangent (Background)
7: | Addition With Hyperbolic Secant (Background)
8: | Addition With Floating Modulus (Background)
9: | Addition With Power (Background)
10: | Addition With Reciprocal Square Root (Background)
11: | Addition With Square Root (Background)
12: | Addition With Round (Background)
13: | Addition With Arccosinus (Background)
14: | Addition With Arcsinus (Background)
15: | Addition With Arctangent (Background)
16: | Addition With Cosinus (Background)
17: | Addition With Sinus (Background)
18: | Addition With Tangent (Background)
19: | Addition With Cosecant (Background)
20: | Addition With Cotangent (Background)
21: | Addition With Secant (Background)
22: | Blend Intensity (Background)
23: | Blend Value (Background)
24: | Photoshop Color (Background)
25: | Photoshop Hue (Background)
26: | Photoshop Luminosity (Background)
27: | Photoshop Saturation (Background)
28: | GIMP Grain Extract (Background)
29: | GIMP Grain Merge (Background)
30: | Krita Hard Mix Softer (Background)
31: | Krita Interpolation (Background)
32: | Krita Interpolation - 2X (Background)
33: | Krita Parallel (Background)
34: | Photoshop Hard Light (Background)
35: | Photoshop Hard Mix (Background)
36: | Photoshop Linear Light (Background)
37: | Photoshop Overlay (Background)
38: | Photoshop Pin Light (Background)
39: | Photoshop Soft Light (Background)
40: | Photoshop Vivid Light (Background)
41: | Blend Stamp (Background)
42: | Photoshop Color Burn (Background)
43: | Photoshop Darken (Background)
44: | Photoshop Darker Color (Background)
45: | Photoshop Linear Burn (Background)
46: | Division (Background)
47: | Division With Hyperbolic Cosinus (Background)
48: | Division With Hyperbolic Sinus (Background)
49: | Division With Hyperbolic Tangent (Background)
50: | Division With Hyperbolic Cosecant (Background)
51: | Division With Hyperbolic Cotangent (Background)
52: | Division With Hyperbolic Secant (Background)
53: | Division With Floating Modulus (Background)
54: | Division With Power (Background)
55: | Division With Reciprocal Square Root (Background)
56: | Division With Square Root (Background)
57: | Division With Round (Background)
58: | Division With Arccosinus (Background)
59: | Division With Arcsinus (Background)
60: | Division With Arctangent (Background)
61: | Division With Cosinus (Background)
62: | Division With Sinus (Background)
63: | Division With Tangent (Background)
64: | Division With Cosecant (Background)
65: | Division With Cotangent (Background)
66: | Division With Secant (Background)
67: | Blend Inverted (Background)
68: | Blend Phoenix (Background)
69: | Blend Signed Difference (Background)
70: | Krita Additive Subtractive (Background)
71: | Krita Arcus Tangens (Background)
72: | Krita Negation (Background)
73: | Krita Penumbra A (Background)
74: | Krita Penumbra B (Background)
75: | Krita Penumbra C (Background)
76: | Krita Penumbra D (Background)
77: | Photoshop Difference (Background)
78: | Photoshop Exclusion (Background)
79: | Light (Background)
80: | Photoshop Color Dodge (Background)
81: | Photoshop Lighten (Background)
82: | Photoshop Lighter Color (Background)
83: | Photoshop Screen (Background)
84: | Logical ARLEFTSHIFT Base (Background)
85: | Logical ARLEFTSHIFT Blend (Background)
86: | Logical ARRIGHTSHIFT Base (Background)
87: | Logical ARRIGHTSHIFT Blend (Background)
88: | Logical AND (Background)
89: | Logical OR (Background)
90: | Logical XOR (Background)
91: | Logical ROTATELEFT Base (Background)
92: | Logical ROTATELEFT Blend (Background)
93: | Logical ROTATERIGHT Base (Background)
94: | Logical ROTATERIGHT Blend (Background)
95: | Logical IMPLY (Background)
96: | Logical NIMPLY (Background)
97: | Logical XIMPLY (Background)
98: | Logical XNIMPLY (Background)
99: | Logical NAND (Background)
100: | Logical NOR (Background)
101: | Logical XNOR (Background)
102: | Logical LEFTSHIFT Base (Background)
103: | Logical LEFTSHIFT Blend (Background)
104: | Logical RIGHTSHIFT Base (Background)
105: | Logical RIGHTSHIFT Blend (Background)
106: | Multiplication (Background)
107: | Multiplication With Hyperbolic Cosinus (Background)
108: | Multiplication With Hyperbolic Sinus (Background)
109: | Multiplication With Hyperbolic Tangent (Background)
110: | Multiplication With Hyperbolic Cosecant (Background)
111: | Multiplication With Hyperbolic Cotangent (Background)
112: | Multiplication With Hyperbolic Secant (Background)
113: | Multiplication With Floating Modulus (Background)
114: | Multiplication With Power (Background)
115: | Multiplication With Reciprocal Square Root (Background)
116: | Multiplication With Square Root (Background)
117: | Multiplication With Round (Background)
118: | Multiplication With Arccosinus (Background)
119: | Multiplication With Arcsinus (Background)
120: | Multiplication With Arctangent (Background)
121: | Multiplication With Cosinus (Background)
122: | Multiplication With Sinus (Background)
123: | Multiplication With Tangent (Background)
124: | Multiplication With Cosecant (Background)
125: | Multiplication With Cotangent (Background)
126: | Multiplication With Secant (Background)
127: | Blend Average (Background)
128: | Blend Color Blue (Background)
129: | Blend Color Cyan (Background)
130: | Blend Color Green (Background)
131: | Blend Color Magenta (Background)
132: | Blend Color Red (Background)
133: | Blend Color Yellow (Background)
134: | Comparison Different (Background)
135: | Comparison Equal (Background)
136: | Comparison Greater (Background)
137: | Comparison Greater Equal (Background)
138: | Comparison Less (Background)
139: | Comparison Less Equal (Background)
140: | Photoshop Dissolve (Texture)
141: | Krita Frect (Background)
142: | Krita Freeze (Background)
143: | Krita Freeze-Reflect (Background)
144: | Krita Reeze (Background)
145: | Krita Reflect-Freeze (Background)
146: | Krita Gleat (Background)
147: | Krita Glow (Background)
148: | Krita Glow-Heat (Background)
149: | Krita Heat-Glow (Background)
150: | Krita Heat (Background)
151: | Krita Helow (Background)
152: | Krita Heat-Glow and Freeze-Reflect Hybrid (Background)
153: | PaintDotNET Glow (Background)
154: | PaintDotNET Reflect (Background)
155: | Subtraction (Background)
156: | Subtraction With Hyperbolic Cosinus (Background)
157: | Subtraction With Hyperbolic Sinus (Background)
158: | Subtraction With Hyperbolic Tangent (Background)
159: | Subtraction With Hyperbolic Cosecant (Background)
160: | Subtraction With Hyperbolic Cotangent (Background)
161: | Subtraction With Hyperbolic Secant (Background)
162: | Subtraction With Floating Modulus (Background)
163: | Subtraction With Power (Background)
164: | Subtraction With Reciprocal Square Root (Background)
165: | Subtraction With Square Root (Background)
166: | Subtraction With Round (Background)
167: | Subtraction With Arccosinus (Background)
168: | Subtraction With Arcsinus (Background)
169: | Subtraction With Arctangent (Background)
170: | Subtraction With Cosinus (Background)
171: | Subtraction With Sinus (Background)
172: | Subtraction With Tangent (Background)
173: | Subtraction With Cosecant (Background)
174: | Subtraction With Cotangent (Background)
175: | Subtraction With Secant (Background)
176: | Color Combiner (Switch)
177: | Ambient (Switch)
